Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,WHH,WHD,WHA,Season,current_points_H,current_points_A,total_points_H,total_points_A
2003-08-16,Arsenal,Everton,2,1,H,1,0,H,M Halsey,11,13,5,7,8,15,6,9,1,3,1,1,1.4,3.8,8.0,1.28,4.5,8.0,2003/2004,0,0,0,0
2003-08-16,Birmingham,Tottenham,1,0,H,1,0,H,R Styles,10,15,5,7,20,27,1,4,3,5,0,0,2.375,3.25,2.75,2.2,3.2,2.8,2003/2004,0,0,0,0
2003-08-16,Blackburn,Wolves,5,1,H,2,0,H,J Winter,25,8,13,5,8,14,6,2,1,1,0,0,1.615,3.4,5.5,1.57,3.5,5.0,2003/2004,0,0,0,0
2003-08-16,Fulham,Middlesbrough,3,2,H,1,1,D,G Poll,17,8,9,5,18,16,7,6,1,1,0,0,2.3,3.25,2.8,2.3,3.2,2.62,2003/2004,0,0,0,0
2003-08-16,Leicester,Southampton,2,2,D,2,0,H,M Riley,12,13,7,10,27,15,2,7,3,1,0,0,2.5,3.2,2.6,2.3,3.2,2.62,2003/2004,0,0,0,0
2003-08-16,Man United,Bolton,4,0,H,1,0,H,P Durkin,13,15,6,5,12,8,8,4,0,4,0,0,1.286,4.5,10.0,1.22,5.0,9.5,2003/2004,0,0,0,0
2003-08-16,Portsmouth,Aston Villa,2,1,H,1,0,H,G Barber,4,9,3,5,18,22,7,9,2,1,0,1,2.375,3.25,2.75,2.3,3.2,2.62,2003/2004,0,0,0,0
2003-08-17,Charlton,Man City,0,3,A,0,2,A,M Dean,10,14,5,8,12,16,4,7,2,1,1,0,2.25,3.4,2.75,2.37,3.3,2.5,2003/2004,0,0,0,0
2003-08-17,Leeds,Newcastle,2,2,D,1,1,D,R Martin,8,19,3,10,19,16,4,8,4,2,0,0,2.75,3.25,2.375,3.0,3.2,2.1,2003/2004,0,0,0,0
2003-08-17,Liverpool,Chelsea,1,2,A,0,1,A,S Bennett,12,10,7,6,13,12,8,6,3,1,0,0,2.25,3.25,2.875,2.3,3.0,2.8,2003/2004,0,0,0,0
2003-08-23,Bolton,Blackburn,2,2,D,2,0,H,A D'Urso,16,10,10,5,11,15,9,2,2,4,0,1,2.5,3.3,2.5,2.5,3.1,2.5,2003/2004,0,3,0,3
2003-08-23,Chelsea,Leicester,2,1,H,2,1,H,R Styles,17,5,7,1,12,18,7,2,0,3,1,2,1.25,5.0,10.0,1.22,5.0,9.5,2003/2004,3,1,3,1
2003-08-23,Everton,Fulham,3,1,H,3,0,H,N Barry,10,23,8,15,15,14,4,10,2,4,0,0,1.8,3.4,4.0,1.72,3.4,4.0,2003/2004,0,3,0,3
2003-08-23,Man City,Portsmouth,1,1,D,0,1,A,M Messias,21,4,11,2,8,22,11,7,2,3,0,0,1.667,3.6,4.5,1.66,3.4,4.33,2003/2004,3,3,3,3
2003-08-23,Newcastle,Man United,1,2,A,1,0,H,U Rennie,7,11,5,8,18,14,2,4,2,2,0,0,3.0,3.2,2.2,2.87,3.1,2.2,2003/2004,1,3,1,3
2003-08-23,Southampton,Birmingham,0,0,D,0,0,D,Graham Barber,14,12,7,5,15,19,2,7,3,1,0,0,1.909,3.25,3.75,1.9,3.2,3.5,2003/2004,1,3,1,3
2003-08-23,Tottenham,Leeds,2,1,H,1,1,D,S Dunn,20,5,4,2,14,14,6,0,1,2,0,0,2.0,3.25,3.4,2.1,3.2,3.0,2003/2004,0,1,0,1
2003-08-23,Wolves,Charlton,0,4,A,0,4,A,P Dowd,10,8,4,6,11,7,5,2,2,1,0,1,2.375,3.25,2.7,2.25,3.1,2.8,2003/2004,0,0,0,0
2003-08-24,Aston Villa,Liverpool,0,0,D,0,0,D,P Durkin,14,15,9,9,16,7,8,9,0,1,0,0,3.0,3.2,2.2,3.1,3.1,2.1,2003/2004,0,0,0,0
2003-08-24,Middlesbrough,Arsenal,0,4,A,0,3,A,D Gallagher,10,14,4,10,11,7,3,5,1,0,0,0,4.0,3.4,1.8,4.2,3.25,1.72,2003/2004,0,3,0,3
2003-08-25,Blackburn,Man City,2,3,A,1,1,D,A Wiley,14,13,10,5,14,10,9,0,2,1,0,0,2.0,3.25,3.4,2.0,3.2,3.2,2003/2004,4,4,4,4
2003-08-26,Charlton,Everton,2,2,D,1,1,D,S Dunn,10,13,4,4,8,8,6,8,1,1,0,0,2.375,3.2,2.75,2.4,3.1,2.6,2003/2004,3,3,3,3
2003-08-26,Leeds,Southampton,0,0,D,0,0,D,P Durkin,15,14,6,8,10,11,6,10,2,3,0,0,2.0,3.25,3.4,2.0,3.2,3.2,2003/2004,1,2,1,2
2003-08-26,Leicester,Middlesbrough,0,0,D,0,0,D,G Barber,12,13,4,3,17,16,6,4,3,2,0,0,2.5,3.2,2.6,2.37,3.1,2.62,2003/2004,1,0,1,0
2003-08-26,Portsmouth,Bolton,4,0,H,0,0,D,D Gallagher,13,13,8,4,12,14,0,4,2,4,0,0,2.1,3.25,3.2,2.0,3.2,3.2,2003/2004,4,1,4,1
2003-08-27,Arsenal,Aston Villa,2,0,H,0,0,D,M Dean,14,6,6,3,16,16,2,6,3,4,0,0,1.286,5.0,8.5,1.28,4.5,8.0,2003/2004,6,1,6,1
2003-08-27,Liverpool,Tottenham,0,0,D,0,0,D,U Rennie,22,9,10,4,20,27,8,5,2,5,0,0,1.5,3.5,7.0,1.5,3.4,6.0,2003/2004,1,3,1,3
2003-08-27,Man United,Wolves,1,0,H,0,0,D,G Poll,14,12,5,2,6,12,10,2,2,2,0,0,1.143,6.5,15.0,1.11,6.5,15.0,2003/2004,6,0,6,0
2003-08-30,Aston Villa,Leicester,3,1,H,3,0,H,S Bennett,10,5,8,4,18,17,11,1,1,2,0,1,1.667,3.4,5.0,1.72,3.2,4.33,2003/2004,1,2,1,2
2003-08-30,Bolton,Charlton,0,0,D,0,0,D,A Wiley,13,7,9,1,18,16,12,3,4,2,0,0,2.3,3.25,2.8,2.2,3.25,2.75,2003/2004,1,4,1,4
2003-08-30,Chelsea,Blackburn,2,2,D,1,1,D,M Dean,12,7,5,4,11,19,3,4,0,4,0,0,1.5,3.6,6.5,1.5,3.4,6.0,2003/2004,6,4,6,4
2003-08-30,Everton,Liverpool,0,3,A,0,1,A,M Riley,11,18,5,11,22,17,9,5,3,3,0,0,2.6,3.2,2.5,2.5,3.1,2.5,2003/2004,4,2,4,2
2003-08-30,Middlesbrough,Leeds,2,3,A,0,1,A,N Barry,27,8,16,4,17,21,6,3,2,3,0,0,2.0,3.25,3.4,2.0,3.2,3.2,2003/2004,1,2,1,2
2003-08-30,Newcastle,Birmingham,0,1,A,0,0,D,M Messias,19,7,10,3,15,15,9,6,2,1,0,0,1.533,3.4,6.5,1.5,3.4,6.0,2003/2004,1,4,1,4
2003-08-30,Tottenham,Fulham,0,3,A,0,1,A,J Winter,18,9,6,5,15,13,9,4,0,2,0,0,1.667,3.4,5.0,1.72,3.2,4.33,2003/2004,4,3,4,3
2003-08-30,Wolves,Portsmouth,0,0,D,0,0,D,A D'Urso,11,9,2,2,15,16,4,6,3,5,0,0,2.75,3.2,2.375,2.62,3.2,2.3,2003/2004,0,7,0,7
2003-08-31,Man City,Arsenal,1,2,A,1,0,H,G Poll,11,10,7,5,12,11,5,5,4,3,0,0,4.0,3.4,1.8,4.5,3.3,1.66,2003/2004,7,9,7,9
2003-08-31,Southampton,Man United,1,0,H,0,0,D,M Halsey,12,10,5,9,8,10,9,5,1,0,0,0,5.0,3.4,1.667,5.0,3.5,1.57,2003/2004,3,9,3,9
2003-09-13,Arsenal,Portsmouth,1,1,D,1,1,D,A Wiley,12,8,7,2,11,19,7,1,2,3,0,0,1.28,4.5,10.0,1.22,5.0,9.5,2003/2004,12,8,12,8
2003-09-13,Blackburn,Liverpool,1,3,A,1,1,D,N Barry,8,21,5,14,13,11,5,10,2,2,1,0,2.8,3.25,2.3,2.6,3.1,2.4,2003/2004,5,5,5,5
2003-09-13,Bolton,Middlesbrough,2,0,H,1,0,H,P Dowd,13,7,8,6,17,14,10,1,3,3,0,0,2.3,3.2,2.87,2.25,3.1,2.8,2003/2004,2,1,2,1
2003-09-13,Charlton,Man United,0,2,A,0,0,D,M Riley,8,14,3,9,19,18,3,3,2,2,1,0,5.0,3.6,1.61,5.0,3.5,1.57,2003/2004,5,9,5,9
2003-09-13,Chelsea,Tottenham,4,2,H,2,1,H,G Poll,12,9,6,3,16,20,10,3,1,4,0,0,1.53,3.6,6.0,1.53,3.25,6.0,2003/2004,7,4,7,4
2003-09-13,Everton,Newcastle,2,2,D,0,0,D,R Styles,9,4,7,2,20,21,6,3,5,5,1,1,2.37,3.2,2.75,2.37,3.1,2.62,2003/2004,4,1,4,1
2003-09-13,Southampton,Wolves,2,0,H,1,0,H,U Rennie,15,10,10,3,16,20,7,3,3,5,0,0,1.61,3.4,5.5,1.57,3.5,5.0,2003/2004,6,1,6,1
2003-09-14,Birmingham,Fulham,2,2,D,1,1,D,S Dunn,15,8,9,6,16,21,8,1,1,4,1,1,1.83,3.25,4.0,1.83,3.2,3.75,2003/2004,7,6,7,6
2003-09-14,Man City,Aston Villa,4,1,H,0,1,A,M Halsey,17,8,9,4,11,11,4,3,0,1,0,0,1.83,3.25,4.0,1.83,3.3,3.6,2003/2004,7,4,7,4
2003-09-15,Leicester,Leeds,4,0,H,2,0,H,J Winter,19,14,11,2,10,10,9,5,0,2,0,0,2.6,3.2,2.5,2.5,3.1,2.5,2003/2004,2,5,2,5
2003-09-20,Aston Villa,Charlton,2,1,H,1,0,H,C Foy,15,8,6,3,13,13,10,2,3,2,0,0,1.9,3.25,3.75,1.83,3.2,3.75,2003/2004,4,5,4,5
2003-09-20,Fulham,Man City,2,2,D,0,0,D,P Dowd,13,7,9,6,14,19,2,4,2,5,0,0,2.3,3.25,2.8,2.5,3.1,2.5,2003/2004,7,10,7,10
2003-09-20,Leeds,Birmingham,0,2,A,0,0,D,D Gallagher,12,7,6,3,15,14,6,1,4,2,1,0,2.1,3.25,3.2,2.2,3.25,2.75,2003/2004,5,8,5,8
2003-09-20,Liverpool,Leicester,2,1,H,1,0,H,M Halsey,19,9,8,3,10,9,4,4,0,0,0,0,1.3,4.5,9.5,1.33,4.0,8.0,2003/2004,8,5,8,5
2003-09-20,Newcastle,Bolton,0,0,D,0,0,D,Graham Barber,14,8,7,6,15,12,7,5,1,1,0,0,1.5,3.6,6.5,1.5,3.4,6.0,2003/2004,2,5,2,5
2003-09-20,Portsmouth,Blackburn,1,2,A,0,2,A,P Durkin,9,12,6,10,17,18,7,6,2,3,0,0,2.25,3.25,2.87,2.3,3.2,2.62,2003/2004,9,5,9,5
2003-09-20,Tottenham,Southampton,1,3,A,0,2,A,A D'Urso,13,12,6,10,15,14,4,7,1,1,0,0,2.0,3.25,3.4,2.0,3.2,3.2,2003/2004,4,9,4,9
2003-09-20,Wolves,Chelsea,0,5,A,0,2,A,M Messias,8,14,4,8,15,15,1,3,2,3,0,0,6.5,3.6,1.5,6.5,3.6,1.44,2003/2004,1,10,1,10
2003-09-21,Man United,Arsenal,0,0,D,0,0,D,S Bennett,9,6,7,1,11,15,4,3,4,3,0,1,2.0,3.25,3.4,2.2,2.87,3.1,2003/2004,12,13,12,13
2003-09-21,Middlesbrough,Everton,1,0,H,1,0,H,A Wiley,9,9,4,5,12,14,4,6,2,3,0,0,2.3,3.25,2.8,2.3,3.2,2.62,2003/2004,1,5,1,5
2003-09-26,Arsenal,Newcastle,3,2,H,1,1,D,M Riley,11,5,7,4,13,17,3,4,0,1,0,0,1.53,3.5,5.5,1.5,3.4,6.0,2003/2004,14,3,14,3
2003-09-27,Birmingham,Portsmouth,2,0,H,1,0,H,S Bennett,7,10,5,5,10,16,4,4,1,3,0,0,1.9,3.25,3.75,2.0,3.2,3.2,2003/2004,11,9,11,9
2003-09-27,Bolton,Wolves,1,1,D,0,1,A,M Dean,22,8,14,4,16,4,12,3,2,0,0,0,1.61,3.6,5.0,1.72,3.2,4.33,2003/2004,6,1,6,1
2003-09-27,Chelsea,Aston Villa,1,0,H,1,0,H,J Winter,10,7,5,1,7,9,6,5,0,2,0,0,1.33,4.33,8.5,1.3,4.2,8.5,2003/2004,13,7,13,7
2003-09-27,Leicester,Man United,1,4,A,0,3,A,G Poll,10,11,4,9,7,11,7,3,0,0,0,0,6.5,3.6,1.5,7.0,3.5,1.44,2003/2004,5,13,5,13
2003-09-27,Southampton,Middlesbrough,0,1,A,0,1,A,B Knight,10,12,6,9,12,19,4,4,4,3,1,0,1.8,3.2,4.33,1.66,3.4,4.33,2003/2004,12,4,12,4
2003-09-28,Blackburn,Fulham,0,2,A,0,1,A,M Messias,6,7,0,2,14,11,5,5,2,4,0,0,1.8,3.4,4.0,1.66,3.3,4.5,2003/2004,8,8,8,8
2003-09-28,Charlton,Liverpool,3,2,H,2,1,H,R Styles,14,17,5,9,11,9,7,5,2,1,0,0,4.33,3.2,1.8,4.2,3.25,1.72,2003/2004,5,11,5,11
2003-09-28,Everton,Leeds,4,0,H,3,0,H,P Durkin,20,6,9,2,11,15,11,4,0,2,0,0,1.83,3.25,4.0,1.8,3.3,3.75,2003/2004,5,5,5,5
2003-09-28,Man City,Tottenham,0,0,D,0,0,D,N Barry,21,4,10,2,7,15,6,6,2,1,0,0,1.72,3.4,4.5,1.72,3.4,4.0,2003/2004,11,4,11,4
2003-10-04,Fulham,Leicester,2,0,H,1,0,H,C Foy,16,8,8,4,14,10,4,4,2,1,0,0,1.61,3.6,5.0,1.66,3.3,4.5,2003/2004,11,5,11,5
2003-10-04,Leeds,Blackburn,2,1,H,2,0,H,U Rennie,15,17,5,9,18,20,2,5,3,1,0,0,2.5,3.3,2.5,2.6,3.4,2.25,2003/2004,5,8,5,8
2003-10-04,Liverpool,Arsenal,1,2,A,1,1,D,G Barber,13,12,7,8,12,20,11,3,2,2,0,0,2.5,3.3,2.5,2.6,3.1,2.4,2003/2004,11,17,11,17
2003-10-04,Man United,Birmingham,3,0,H,1,0,H,M Dean,10,5,8,2,13,11,5,1,0,1,0,1,1.3,4.5,9.5,1.28,4.5,8.0,2003/2004,16,14,16,14
2003-10-04,Newcastle,Southampton,1,0,H,1,0,H,P Dowd,14,7,9,4,14,10,8,4,3,2,0,0,1.72,3.5,4.33,1.72,3.4,4.0,2003/2004,3,12,3,12
2003-10-04,Portsmouth,Charlton,1,2,A,1,0,H,G Poll,16,11,8,6,20,14,6,9,3,2,0,0,2.1,3.25,3.2,2.0,3.2,3.2,2003/2004,9,8,9,8
2003-10-04,Tottenham,Everton,3,0,H,1,0,H,D Gallagher,13,12,7,4,15,14,2,6,2,2,0,0,2.25,3.25,2.87,2.1,3.2,3.0,2003/2004,5,8,5,8
2003-10-04,Wolves,Man City,1,0,H,0,0,D,J Winter,8,9,4,5,13,7,3,10,3,2,0,0,3.25,3.5,2.0,3.6,3.3,1.83,2003/2004,2,12,2,12
2003-10-05,Aston Villa,Bolton,1,1,D,0,0,D,R Styles,14,15,8,5,14,16,9,5,1,5,0,0,1.8,3.4,4.0,1.72,3.2,4.33,2003/2004,7,7,7,7
2003-10-05,Middlesbrough,Chelsea,1,2,A,0,1,A,M Halsey,15,10,6,6,14,18,2,8,1,2,0,0,4.33,3.5,1.72,4.5,3.3,1.66,2003/2004,7,16,7,16
2003-10-14,Birmingham,Chelsea,0,0,D,0,0,D,N Barry,6,13,2,8,10,14,2,18,2,4,0,0,4.33,3.5,1.72,4.2,3.25,1.72,2003/2004,14,19,14,19
2003-10-18,Arsenal,Chelsea,2,1,H,1,1,D,P Durkin,13,7,9,3,11,13,6,3,1,2,0,0,2.2,3.2,3.0,2.2,3.2,2.8,2003/2004,20,20,20,20
2003-10-18,Fulham,Wolves,0,0,D,0,0,D,H Webb,9,14,4,6,12,11,4,11,2,2,0,0,1.57,3.6,5.5,1.57,3.3,5.5,2003/2004,14,5,14,5
2003-10-18,Leeds,Man United,0,1,A,0,0,D,G Poll,3,18,2,10,19,8,7,2,4,1,0,0,5.0,3.6,1.61,5.5,3.3,1.57,2003/2004,8,19,8,19
2003-10-18,Man City,Bolton,6,2,H,1,1,D,S Bennett,16,12,13,8,11,8,7,4,1,1,1,0,1.66,3.4,5.0,1.66,3.3,4.5,2003/2004,12,8,12,8
2003-10-18,Middlesbrough,Newcastle,0,1,A,0,1,A,A Wiley,11,4,7,3,17,12,8,2,3,3,0,0,2.5,3.3,2.5,2.6,3.1,2.4,2003/2004,7,6,7,6
2003-10-18,Portsmouth,Liverpool,1,0,H,1,0,H,S Dunn,10,13,6,7,22,10,5,3,2,2,0,0,4.0,3.25,1.83,3.75,3.2,1.83,2003/2004,9,11,9,11
2003-10-19,Birmingham,Aston Villa,0,0,D,0,0,D,M Riley,4,2,3,1,16,20,3,4,2,1,0,0,2.25,3.0,3.1,2.1,3.1,3.1,2003/2004,15,8,15,8
2003-10-19,Everton,Southampton,0,0,D,0,0,D,M Messias,13,19,6,7,11,6,8,6,1,2,0,0,2.0,3.25,3.4,2.0,3.2,3.2,2003/2004,8,12,8,12
2003-10-19,Leicester,Tottenham,1,2,A,1,0,H,A D'Urso,22,7,15,4,12,19,5,1,3,3,0,0,2.6,3.2,2.5,2.62,3.1,2.37,2003/2004,5,8,5,8
2003-10-20,Blackburn,Charlton,0,1,A,0,1,A,G Barber,15,10,6,5,17,12,5,3,3,0,0,0,1.9,3.25,3.75,1.8,3.25,3.8,2003/2004,8,11,8,11
2003-10-21,Fulham,Newcastle,2,3,A,2,1,H,B Knight,4,11,4,7,14,16,4,8,2,2,0,0,2.5,3.2,2.6,2.62,3.2,2.3,2003/2004,15,9,15,9
2003-10-25,Aston Villa,Everton,0,0,D,0,0,D,A D'Urso,16,8,6,2,11,12,9,3,0,1,0,0,2.0,3.25,3.4,1.9,3.1,3.6,2003/2004,9,9,9,9
2003-10-25,Bolton,Birmingham,0,1,A,0,1,A,C Foy,16,7,7,3,14,16,7,3,1,2,0,0,2.4,3.2,2.7,2.37,3.1,2.62,2003/2004,8,16,8,16
2003-10-25,Chelsea,Man City,1,0,H,1,0,H,P Dowd,7,9,4,6,8,8,1,5,0,0,0,0,1.5,3.5,7.0,1.5,3.6,5.5,2003/2004,20,15,20,15
2003-10-25,Liverpool,Leeds,3,1,H,1,1,D,J Winter,20,7,9,5,11,13,9,3,0,2,0,0,1.5,3.5,7.0,1.5,3.4,6.0,2003/2004,11,8,11,8
2003-10-25,Man United,Fulham,1,3,A,1,1,D,M Riley,17,12,9,7,10,14,10,2,4,2,0,0,1.25,5.0,10.0,1.16,5.5,12.0,2003/2004,22,15,22,15
2003-10-25,Newcastle,Portsmouth,3,0,H,2,0,H,P Durkin,10,9,8,4,12,14,6,6,0,1,0,0,1.53,3.6,6.0,1.57,3.5,5.0,2003/2004,12,12,12,12
2003-10-25,Southampton,Blackburn,2,0,H,0,0,D,S Bennett,22,6,15,3,17,14,5,3,0,1,0,1,2.0,3.25,3.4,2.0,3.2,3.2,2003/2004,13,8,13,8
2003-10-25,Wolves,Leicester,4,3,H,0,3,A,P Walton,12,7,8,5,6,13,2,6,0,2,0,0,2.1,3.25,3.2,2.1,3.2,3.0,2003/2004,6,5,6,5
2003-10-26,Charlton,Arsenal,1,1,D,1,1,D,S Dunn,6,11,4,6,15,13,7,5,1,1,0,0,5.0,3.6,1.61,5.5,3.4,1.53,2003/2004,14,23,14,23
2003-10-26,Tottenham,Middlesbrough,0,0,D,0,0,D,M Dean,12,16,8,10,14,10,8,5,3,2,0,0,1.83,3.25,4.0,1.8,3.3,3.75,2003/2004,11,7,11,7
2003-11-01,Everton,Chelsea,0,1,A,0,0,D,J Winter,12,17,4,7,5,11,3,1,0,0,0,0,4.5,3.4,1.72,4.2,3.25,1.72,2003/2004,10,23,10,23
2003-11-01,Leeds,Arsenal,1,4,A,0,3,A,M Dean,9,13,5,9,12,11,4,3,1,0,0,0,5.5,3.6,1.57,5.0,3.5,1.57,2003/2004,8,24,8,24
2003-11-01,Man United,Portsmouth,3,0,H,1,0,H,N Barry,10,9,4,3,13,12,3,3,0,3,0,0,1.25,5.0,10.0,1.2,5.5,9.0,2003/2004,22,12,22,12
2003-11-01,Middlesbrough,Wolves,2,0,H,0,0,D,S Dunn,14,9,11,2,8,12,7,3,1,2,0,1,1.72,3.4,4.5,1.72,3.4,4.0,2003/2004,8,9,8,9
2003-11-01,Newcastle,Aston Villa,1,1,D,1,1,D,M Messias,22,11,13,6,9,17,15,3,2,3,0,1,1.57,3.6,5.5,1.5,3.4,6.0,2003/2004,15,10,15,10
2003-11-01,Southampton,Man City,0,2,A,0,1,A,A Wiley,8,13,5,9,10,16,4,6,1,1,0,0,2.2,3.4,2.87,2.2,3.25,2.75,2003/2004,16,15,16,15
2003-11-01,Tottenham,Bolton,0,1,A,0,0,D,U Rennie,10,25,6,15,18,6,7,5,3,0,0,0,1.72,3.4,4.5,1.66,3.3,4.5,2003/2004,12,8,12,8
2003-11-02,Fulham,Liverpool,1,2,A,1,1,D,R Styles,10,10,6,6,13,10,4,8,1,1,1,0,2.7,3.25,2.37,2.8,3.1,2.25,2003/2004,18,14,18,14
2003-11-02,Leicester,Blackburn,2,0,H,0,0,D,D Gallagher,4,10,3,2,11,11,2,6,2,1,0,0,2.5,3.3,2.5,2.62,3.1,2.37,2003/2004,5,8,5,8
2003-11-03,Birmingham,Charlton,1,2,A,0,1,A,P Dowd,14,13,13,9,14,18,15,8,1,1,0,0,1.9,3.25,3.75,1.9,3.2,3.5,2003/2004,19,15,19,15
2003-11-08,Arsenal,Tottenham,2,1,H,0,1,A,M Halsey,9,5,3,2,8,22,9,5,1,4,0,0,1.4,3.75,8.5,1.44,3.3,7.5,2003/2004,27,12,27,12
2003-11-08,Aston Villa,Middlesbrough,0,2,A,0,1,A,D Gallagher,12,8,4,3,19,16,5,2,1,2,0,0,2.0,3.25,3.4,2.2,3.0,3.0,2003/2004,11,11,11,11
2003-11-08,Bolton,Southampton,0,0,D,0,0,D,H Webb,18,8,11,5,10,14,8,6,2,1,0,1,2.37,3.2,2.75,2.37,3.1,2.62,2003/2004,11,16,11,16
2003-11-08,Charlton,Fulham,3,1,H,1,0,H,A D'Urso,12,11,7,7,10,12,1,5,1,2,0,0,2.25,3.25,2.87,2.1,3.2,3.0,2003/2004,18,18,18,18
2003-11-08,Portsmouth,Leeds,6,1,H,2,1,H,C Foy,14,6,6,5,9,11,3,2,1,4,0,0,1.83,3.25,4.0,1.9,3.2,3.5,2003/2004,12,8,12,8
2003-11-08,Wolves,Birmingham,1,1,D,0,0,D,G Barber,11,4,4,2,13,12,8,1,2,1,0,0,2.6,3.2,2.5,2.6,3.1,2.4,2003/2004,9,19,9,19
2003-11-09,Chelsea,Newcastle,5,0,H,3,0,H,P Durkin,15,4,8,3,13,5,2,0,0,0,0,1,1.61,3.6,5.0,1.57,3.5,5.0,2003/2004,26,16,26,16
2003-11-09,Liverpool,Man United,1,2,A,0,0,D,G Poll,10,6,4,4,16,9,2,6,1,2,0,0,2.75,3.2,2.37,2.8,3.1,2.25,2003/2004,17,25,17,25
2003-11-09,Man City,Leicester,0,3,A,0,1,A,M Riley,14,6,4,3,7,12,12,3,2,2,0,0,1.44,3.8,7.0,1.5,3.4,6.0,2003/2004,18,8,18,8
2003-11-10,Blackburn,Everton,2,1,H,2,0,H,P Dowd,18,8,12,2,16,9,12,3,3,2,0,0,2.25,3.25,2.87,2.2,3.1,2.87,2003/2004,8,10,8,10
2003-11-22,Birmingham,Arsenal,0,3,A,0,1,A,P Durkin,7,9,1,6,8,11,8,6,1,2,0,0,4.5,3.4,1.72,4.2,3.25,1.72,2003/2004,20,30,20,30
2003-11-22,Everton,Wolves,2,0,H,2,0,H,M Riley,23,8,15,4,7,23,8,3,2,2,0,0,1.66,3.4,5.0,1.72,3.2,4.33,2003/2004,10,10,10,10
2003-11-22,Leeds,Bolton,0,2,A,0,2,A,G Poll,13,10,10,5,15,11,8,2,1,0,0,0,2.2,3.2,3.0,2.1,3.3,2.87,2003/2004,8,12,8,12
2003-11-22,Leicester,Charlton,1,1,D,1,0,H,G Barber,13,7,7,4,15,15,3,3,2,1,0,0,2.7,3.25,2.37,2.5,3.1,2.5,2003/2004,11,21,11,21
2003-11-22,Man United,Blackburn,2,1,H,2,0,H,M Halsey,14,13,8,6,6,15,7,4,0,1,0,0,1.25,5.0,10.0,1.22,5.0,9.5,2003/2004,28,11,28,11
2003-11-22,Middlesbrough,Liverpool,0,0,D,0,0,D,P Dowd,8,8,3,1,16,15,3,4,2,2,0,0,2.8,3.25,2.3,2.75,3.2,2.25,2003/2004,14,17,14,17
2003-11-22,Newcastle,Man City,3,0,H,0,0,D,N Barry,17,5,10,1,13,16,4,2,1,2,0,0,1.8,3.4,4.0,1.8,3.3,3.75,2003/2004,16,18,16,18
2003-11-22,Southampton,Chelsea,0,1,A,0,0,D,D Gallagher,13,8,3,4,7,13,3,3,0,1,0,0,4.5,3.4,1.72,4.5,3.3,1.66,2003/2004,17,29,17,29
2003-11-23,Tottenham,Aston Villa,2,1,H,0,0,D,J Winter,10,13,5,6,14,15,3,3,0,1,0,0,1.9,3.25,3.75,2.0,3.1,3.3,2003/2004,12,11,12,11
2003-11-24,Fulham,Portsmouth,2,0,H,2,0,H,A Wiley,8,12,4,6,9,16,2,11,0,3,0,1,1.83,3.25,4.0,1.83,3.3,3.6,2003/2004,18,15,18,15
2003-11-29,Aston Villa,Southampton,1,0,H,1,0,H,M Messias,22,7,12,3,13,13,9,4,0,1,0,0,2.25,3.25,2.87,2.25,3.0,2.87,2003/2004,11,17,11,17
2003-11-29,Blackburn,Tottenham,1,0,H,0,0,D,G Poll,18,9,12,3,10,13,9,6,0,1,0,0,2.1,3.25,3.2,2.2,3.2,2.8,2003/2004,11,15,11,15
